respondent_id,profile_1,profile_2,profile_3,profile_4,profile_5,profile_6,profile_7,profile_8,profile_9,profile_10,profile_11,profile_12,profile_13,profile_14,profile_15,profile_16,profile_17,profile_18
1,5,6,5,4,2,3,2,2,1,7,5,3,4,3,3,3,5,5
2,4,5,5,3,2,5,4,5,2,5,2,5,3,2,5,7,2,5
3,5,4,5,1,4,5,5,3,1,7,2,7,4,3,2,2,4,2
4,3,4,4,2,4,4,3,4,1,7,4,6,2,3,4,6,4,5
5,5,7,6,1,3,4,2,4,1,7,3,2,4,1,1,2,3,2
6,5,6,5,4,6,6,5,6,6,7,6,6,5,6,6,5,5,5
7,6,4,1,2,6,5,2,3,6,7,5,6,5,5,6,2,4,2
8,4,5,5,3,2,5,4,5,2,5,2,5,5,2,5,7,2,5
9,3,4,3,2,5,4,2,3,3,7,6,6,3,5,5,2,6,3
10,4,3,4,2,3,6,5,3,5,7,4,6,5,4,5,5,5,2
11,6,6,7,5,2,7,5,6,5,4,2,4,7,4,6,6,2,4
12,3,4,5,3,6,4,5,3,5,7,6,7,4,5,2,3,3,4
13,6,6,7,5,2,7,5,6,5,5,2,4,7,4,6,6,2,4
14,3,2,4,1,5,4,3,4,1,7,5,4,4,4,5,3,4,1
15,7,6,6,3,3,5,4,5,4,4,2,2,6,3,4,4,3,4
16,5,4,4,6,7,6,7,5,4,3,6,5,5,5,4,5,4,4
17,3,3,7,3,5,7,4,6,3,7,6,5,3,6,5,5,4,4
18,5,3,5,4,5,4,4,4,1,6,1,4,4,1,1,3,5,1
19,5,6,5,3,4,5,3,3,1,7,4,5,4,3,2,4,5,3
20,4,3,4,5,1,2,5,7,2,3,5,4,6,2,3,2,6,4
21,4,5,3,4,5,4,3,3,4,7,4,5,4,4,4,4,5,3
22,3,4,4,2,4,4,3,4,1,7,4,6,2,3,4,6,4,5
23,2,1,2,4,7,5,3,2,1,4,6,2,5,3,6,2,7,1
24,3,4,4,2,4,4,3,4,1,7,4,6,2,3,4,6,4,5
25,6,5,6,1,4,5,4,3,1,7,4,3,4,2,2,5,5,2
26,5,4,7,2,4,7,5,6,2,7,3,5,6,3,4,6,4,2
27,5,5,6,6,7,5,6,6,5,7,7,7,5,7,5,6,7,6
28,7,6,6,3,2,4,3,2,2,5,2,3,6,1,4,3,4,3
29,4,3,5,4,7,4,5,5,3,7,6,6,4,6,1,3,6,5
30,5,6,7,6,4,3,3,4,5,1,2,3,5,2,4,7,3,7
31,3,4,2,2,1,1,1,1,1,7,4,3,4,2,3,3,6,5
32,4,2,1,2,6,2,2,3,1,7,6,7,3,2,2,3,6,4
33,7,5,6,2,3,6,4,4,2,5,2,4,5,1,2,5,3,2
34,3,4,4,2,4,4,3,4,1,7,4,6,2,3,4,6,4,5
